url,image,YUV_values
https://i.pinimg.com/736x/2a/54/ea/2a54ead03e9e12f9d12ee0741fdd1dcd.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=736x920 at 0x10CD7DEB0>,"(np.float64(132.31451935968826), np.float64(113.47941042125227), np.float64(151.8444218110433))"
https://i.pinimg.com/474x/32/a0/df/32a0df5ae0b2b54d400883a2eb595a7c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x563 at 0x10CDA85B0>,"(np.float64(208.18700769686205), np.float64(120.86619301361752), np.float64(135.27093901716992))"
https://i.pinimg.com/474x/31/f3/21/31f321c3fc646e72d01e4bcafc5f64f4.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CD888E0>,"(np.float64(200.26688208798447), np.float64(123.2927385805931), np.float64(129.50358738806102))"
https://i.pinimg.com/474x/32/c6/c5/32c6c5729f87be39cdc7b84175dda237.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x627 at 0x10CD88910>,"(np.float64(194.74592930529283), np.float64(128.64513050837743), np.float64(129.7328936409831))"
https://i.pinimg.com/474x/31/bf/83/31bf83d4b18244d2e1f5ba3c86ff8cb5.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x670 at 0x10CDA8580>,"(np.float64(157.80728365301073), np.float64(122.37937298786478), np.float64(139.4733616203869))"
https://i.pinimg.com/474x/30/38/18/303818174dc572dccc0e13d173899413.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x560 at 0x10CDA8550>,"(np.float64(88.2646373994032), np.float64(120.41066853543117), np.float64(136.67721614371402))"
https://i.pinimg.com/474x/21/54/4b/21544b3dfae477d22932fdba8b3bce54.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CDA8B50>,"(np.float64(147.06972707365273), np.float64(113.40157382185903), np.float64(157.99409371717496))"
https://i.pinimg.com/474x/2d/fb/ab/2dfbab9b2ad0c424ee5ea2970504aad9.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CDA8C70>,"(np.float64(150.41673936653194), np.float64(123.47116634322644), np.float64(133.9165657770577))"
https://i.pinimg.com/474x/2d/4a/7a/2d4a7a1070db587e3f1435d75c8e1d6a.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=236x236 at 0x10C891550>,"(np.float64(82.84163180291958), np.float64(115.74574901693211), np.float64(151.63424487817142))"
https://i.pinimg.com/474x/31/e0/40/31e040c3d98dc3abcb3c54c2f8f1eded.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x590 at 0x10CDA8970>,"(np.float64(154.40015733390547), np.float64(111.75715154115711), np.float64(145.69428949438603))"
https://i.pinimg.com/474x/2f/04/a0/2f04a0a422b98fcaba6b18fee5d4f392.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CDA8AF0>,"(np.float64(175.3381180010326), np.float64(118.31131050935569), np.float64(146.89138136694618))"
https://i.pinimg.com/474x/2f/38/1f/2f381f818641dac294333a741e21f3a0.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x546 at 0x10CDA8460>,"(np.float64(139.54572396765107), np.float64(118.45366939332233), np.float64(137.54202617434882))"
https://i.pinimg.com/474x/2c/f9/5c/2cf95cea369cbb3ff8ca5ef697b03bd8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x842 at 0x10CDA89D0>,"(np.float64(133.93457831476306), np.float64(117.93495180919197), np.float64(135.81208467544838))"
https://i.pinimg.com/474x/2d/e5/9e/2de59e9b3b7f6a7895a1ed07b0e21a43.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CDA8A60>,"(np.float64(156.23251704676957), np.float64(112.42072139436344), np.float64(152.66916359557763))"
https://i.pinimg.com/474x/2f/02/c7/2f02c7071ac63242b0a73a1852b90dce.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x841 at 0x10CF58CA0>,"(np.float64(109.66339614310694), np.float64(112.60388198017615), np.float64(146.4672073776188))"
https://i.pinimg.com/474x/28/62/f3/2862f366e85576fb8b7ea8929c487d6c.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x749 at 0x10CF58940>,"(np.float64(143.93040208436025), np.float64(114.65883810999226), np.float64(144.99295824237728))"
https://i.pinimg.com/474x/2a/de/51/2ade5148bbfc310fb38642b1f07bf724.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x708 at 0x10C891C70>,"(np.float64(113.56690077758269), np.float64(115.96412489100703), np.float64(141.37633628360865))"
https://i.pinimg.com/474x/2a/de/51/2ade5148bbfc310fb38642b1f07bf724.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x708 at 0x10CF58AC0>,"(np.float64(113.56690077758269), np.float64(115.96412489100703), np.float64(141.37633628360865))"
https://i.pinimg.com/474x/2d/60/0c/2d600cbc06cac339d85ecde4173a3e68.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x594 at 0x10CF589D0>,"(np.float64(97.16145278381565), np.float64(120.35372359317508), np.float64(136.9950702524542))"
https://i.pinimg.com/474x/2b/5e/6d/2b5e6d152ddb2173bc92a5f903f423fa.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x842 at 0x10C1E9F40>,"(np.float64(122.6207260299372), np.float64(110.41698613387054), np.float64(146.69114662417127))"
https://i.pinimg.com/474x/29/59/ef/2959ef743d8dd932f41616f089ad6d2d.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x781 at 0x10CF58C40>,"(np.float64(174.42605818744957), np.float64(111.66290157516556), np.float64(145.96589758445737))"
https://i.pinimg.com/474x/26/41/31/2641311251ade66832a30a6dd2ac1d58.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF58E80>,"(np.float64(105.96852932365151), np.float64(122.96662125340599), np.float64(134.0508188652867))"
https://i.pinimg.com/474x/27/8a/01/278a0185825a74974399019208bb5c59.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF58B80>,"(np.float64(118.6866872579161), np.float64(120.72191826748175), np.float64(134.82552482719757))"
https://i.pinimg.com/474x/27/79/e3/2779e3918c3370f6c0186f48446e0e42.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF58F10>,"(np.float64(223.6698357167973), np.float64(121.54222803808202), np.float64(138.92242948640913))"
https://i.pinimg.com/474x/2a/74/79/2a7479374271c2cb2f3aae049c2ba8df.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x644 at 0x10CF58F40>,"(np.float64(117.06716997381109), np.float64(123.49251392388979), np.float64(134.07557725023472))"
https://i.pinimg.com/474x/29/58/b4/2958b4b89994add3bdb2031b3bed76c6.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CD90340>,"(np.float64(118.88327672701212), np.float64(113.91916795384842), np.float64(138.7950687955985))"
https://i.pinimg.com/474x/26/20/af/2620af324b68dbf1a6e00711a9a53109.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x633 at 0x10CF58E20>,"(np.float64(101.51536699086196), np.float64(112.52731389942821), np.float64(147.1332295730241))"
https://i.pinimg.com/474x/24/d2/e3/24d2e3638fd718937756d932918aef91.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x711 at 0x10CDA8670>,"(np.float64(93.16735223749933), np.float64(122.27460109971157), np.float64(134.07205989050854))"
https://i.pinimg.com/474x/24/97/e3/2497e395ef143f1c51d46f6ed9cd92fe.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10C8910D0>,"(np.float64(123.96341843365558), np.float64(123.07891363563532), np.float64(135.9307447168367))"
https://i.pinimg.com/474x/24/74/b1/2474b1c51199c32fbeafd1334d36f4e7.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CD88940>,"(np.float64(87.51718902360291), np.float64(114.81562929948217), np.float64(146.05383118646785))"
https://i.pinimg.com/474x/24/74/b1/2474b1c51199c32fbeafd1334d36f4e7.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x474 at 0x10CF58BE0>,"(np.float64(87.51718902360291), np.float64(114.81562929948217), np.float64(146.05383118646785))"
https://i.pinimg.com/474x/25/ea/94/25ea941546601369d7dc85b2c1af7c29.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x918 at 0x10CF72D30>,"(np.float64(125.63947328039782), np.float64(115.74143352414738), np.float64(144.91673190409188))"
https://i.pinimg.com/474x/22/2f/29/222f291cf61e9663cd4a4d7b35ae9795.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=473x631 at 0x10CF726A0>,"(np.float64(109.85230016094421), np.float64(112.38545131437768), np.float64(149.06560488197425))"
https://i.pinimg.com/474x/1f/43/b2/1f43b2f90cefd3c31abb8aceeceb9bf8.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=474x592 at 0x10CF72820>,"(np.float64(158.10104563144165), np.float64(113.84990876562745), np.float64(146.74095140344124))"
